valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
924,Clout,http://clout.com,"Get 5% to 50% cash back seamlessly deposited to your account when you swipe.  Works with your existing Visa, MasterCard, Amex, Discover, Debit Card, and ATM Card at 19,000 available banks.",21,21,26,241,59,,Pre Series A,,0,4/19/13,0,Los Angeles,Beverly Hills,North America,$5M - $10M,,advertising|analytics|banking|e-commerce|finance|mobile|payments|search|social networking,big data|deals|loyalty / rewards|mobile advertising|mobile payments|payments|point of sale
13912,Requested,http://requestedapp.com,The mobile app that lets you book a table and pay with your phone at the best local restaurants,-2,-2,,327,,2014,Exited (acquired),Brad Feld,0,,,Bay Area,San Francisco,North America,$1M - $5M,B2C|On-Demand,consumer services|e-commerce|food & beverages|hospitality|mobile|payments|travel,
192,Sparkeo,http://sparkeo.com,Sparkeo is a flexible video platform developed for the experts.,-4,-1,0,2,98,2008,Pre Series A,Seedcamp|Seedcamp 2010,0,1/1/10,,Tel Aviv,Tel Aviv,Asia,$1M - $5M,B2B|B2C,education|media|payments,payments|streaming film / tv
2869,Betfair,http://betfair.com,Join Betfair & bet with the best odds Sports Betting Horse Betting Football betting New Customers: Bet PS/EUR10 & Get PS/EUR30 in free bets. T&C's Apply.,-609,-298,941,3460396,134,1999,Exited (ipo),Balderton Capital|Index Ventures|SoftBank Capital,0,1/1/07,,London,London,Europe,$500M - $1B,B2C,data storage|gaming|information security|payments|physical security|security|storage,
891,PayWhere,http://paywhere.com,PayWhere is an internet technology company with the mission of bringing the best online retail experience to both buyers and sellers.,-4,-7,11,1356,93,2010,Exited (acquired),NUS Enterprise|Red Dot Ventures,0,6/1/10,,Singapore,Singapore,Asia,$5M - $10M,B2B,e-commerce|finance|payments,social commerce
1072,Enliken,http://enliken.com,First Party Data,0,0,0,2,,2011,Exited (acquired),Bee Partners,0,,,New York,Brooklyn,North America,$1M - $5M,B2B,advertising|consumer services|payments,data mining|payments
-587,CardMunch,http://cardmunch.com,"This website is for sale!  cardmunch.com is your first and best source for all of the information you're looking for. From general topics to more of what you would expect to find here, cardmunch.com has it all. We hope you find what you are searching for!",-9,-9,1,26,,2009,Exited (acquired),500 Startups|K9 Ventures|Kapor Capital,0,,,Bay Area,Mountain View,North America,$1M - $5M,B2C,education|mobile|payments,android|blackberry|business cards|crowdsourcing|iphone|productivity|relationship management|small & medium sized business
98,Acteavo,http://acteavo.com,Acteavo provides tour and activity operators with online booking software. Giving you the ability to run your business from anywhere through one simple dashboard.,-33,-33,3,1466,45,2013,Exited (acquired),,0,6/6/14,,Dublin,Dublin,Europe,,B2B,analytics|hospitality|human resources hr|marketing|marketing analytics|payments|travel,tourism
35,Adility,http://adility.com,Adiility is a technology company enabling online to offline commerce transactions.,4,0,13,215,78,2009,Exited (acquired),Ben Malka|Dror Shimshowitz|Joe Lonsdale|Kima Ventures|MI Ventures LLC|Manyam Mallela|Peter Bordes|Pietro Dova,0,9/6/11,,Bay Area,San Francisco,North America,,B2B,advertising|e-commerce|marketing|mobile|payments,advertising platform|coupons|deals|mobile advertising|small & medium sized business
11479,Cardpool,http://cardpool.com,"Buy discounted gift cards up to 35% off, sell gift cards for cash, or trade gift cards at the most trusted and most popular gift card exchange.",141,144,13,758947,95,2009,Exited (acquired),Adam Smith|Alfred Lin|Andrew Chen|Chris Sacca|David Samuel|Founder Collective|Great Oaks Venture Capital|James Hong|Jeff Fluhr|Josh Felser|Kapor Capital|Madison Angels|Matt Cutts|Max Levchin|Mitchell Kapor|Naval Ravikant|Nils Johnson|Paul Buchheit|Raj Sandhu|Ramit Sethi|Ron Conway|SV Angel|Voyager Capital|Y Combinator|YC Winter 2010,0,3/31/10,,Bay Area,San Francisco,North America,$1M - $5M,B2C,e-commerce|payments,gift cards
3106,Red Stamp,http://redstamp.com,"Have us snail mail fresh, modern, expertly designed and printed invitations, announcements and cards to you or directly to your list in mere minutes.",-11,-14,9,42080,66,2005,Exited (acquired),Joanne Wilson,0,9/1/12,,Minneapolis,Minneapolis,North America,,B2C|Events,education|mobile|payments|retail,
126,Pago Mobile,http://gopago.com,"GoPago, a cloud-based payment platform with an integrated point-of-sale system, enables users to make payments via their mobile devices.",-64,-6,5,473,73,2009,Exited (acquired),JP Morgan Chase & Co,0,2/23/12,,Los Angeles,Pasadena,North America,$25M - $50M,B2B,data storage|e-commerce|finance|mobile|payments|storage,mobile apps|mobile payments|payments
690,Hypercom,http://hypercom.com,"Verifone is the global leader in secure electronic POS solutions. We provide solutions, services, and expertise that enable electronic payment transactions and value-added services at the point of sale.",-23,-23,462,17,,,Exited (acquired),Francisco Partners,0,,,Phoenix,Scottsdale,North America,$250M - $500M,B2C,banking|finance|information security|payments|physical security|security,
167,The Logic Group,http://the-logic-group.com,The Logic Group delivers payment and loyalty solutions to the largest European retailers.,-3,-3,139,547,80,1986,Exited (acquired),,0,7/1/11,0,Fleet,Fleet,Europe,$50M - $100M,,analytics|finance|marketing|marketing analytics|payments,
5801,Concur Technologies,http://concur.com,"Concur's easy-to-use business travel and expense management software solution helps your business save time, money and gain control. Start your test drive now!",20,20,6303,745105,,1993,Exited (acquired),Redpoint Ventures,0,,,Seattle,Bellevue,North America,$500M - $1B,B2B,enterprise software|payments|travel,
396,Online Resources,http://orcc.com,Online Resources develops and supplies its proprietary digital payment framework.,0,0,264,71,,1989,Exited (acquired),Apex Venture Partners,0,,,Washington D.C.,Washington D.C.,North America,$100M - $250M,,banking|finance|payments,
227,appixia,http://appixia.com,Appixia is a platform for retailers to build and prmote their presence on mobile.,-120,-120,,2212,,,Exited (acquired),Microsoft Ventures,0,,,Israel,Israel,Asia,,,payments,
20,MobilePeak,http://mobilepeak.com,,-8,-8,11,12,,,Exited (acquired),DCM Ventures,0,,,United States,,North America,$25M - $50M,B2B,consumer services|payments|semiconductors,
48,AbsoluteATM,http://burroughs.com,Burroughs Corporation manufactures business equipment and computers.,-129,-129,556,231,,,Exited (acquired),Marlin Equity Partners,0,,,Detroit,Plymouth,North America,$25M - $50M,B2B,hardware|hardware peripherals|payments,
349,Pendum,http://pendum.com,"An Elmhurst, Ill.-based provider of ATMs and other cash automation equipment for the financial and retail markets",56,56,243,15,,,Exited (acquired),Adams Street Partners,0,,,United States,,North America,$100M - $250M,,banking|finance|payments,
1473,ACI Worldwide,http://aciworldwide.com,"ACI Worldwide delivers electronic banking and payment solutions for more than 5,000 financial institutions, merchants, billers and processors around the world.",-15,-15,4660,236718,,1975,Exited (ipo),,0,,,Naples,Naples,North America,$1B - $5B,B2B,analytics|banking|enterprise software|finance|information security|payments|security,
1271,Idun,http://idun.com,"idun.com is your first and best source for all of the information you're looking for. From general topics to more of what you would expect to find here, idun.com has it all. We hope you find what you are searching for!",0,0,,,,,Exited (acquired),Avalon Ventures|Nexus Venture Partners,0,,,San Diego,San Diego,North America,$1M - $5M,,automotive|biotechnology|cleantech|education|gaming|healthcare|human resources hr|payments|solar power,
6820,GroupCard,http://groupcard.com,GroupCard develops social gifting applications enabling users to create and deliver group gifts and greetings.,-356,-356,2,13211,105,,Exited (acquired),Matt Mullenweg|Yee Lee|fbFund,0,6/1/09,,Bay Area,Portola Valley,North America,$1M - $5M,B2C,payments,facebook|facebook applications|gift cards|payments|social media
1144,RentBureau,http://rentbureau.com,"Experian RentBureau collects updated rental histories from property management companies nationwide every 24 hours, and makes that information available immediately to the multifamily industry.",0,0,2,,122,2005,Exited (acquired),,0,1/1/08,,Atlanta,Atlanta,North America,$5M - $10M,B2B,payments|real estate,
-5105,ServiceRelated,http://servicerelated.com,"Credit card processing with rates at 1.59%. Service Related Merchant Services helps businesses save money, manage business and grow sales. Low rate credit card processing with free terminals",-35,-35,1,64,110,2007,Pre Series A,,0,1/1/09,,Buffalo,Lancaster,North America,$1M - $5M,B2B,banking|e-commerce|finance|payments,credit cards|payments
10,PayPerks,http://payperks.com,"PayPerks partners with card issuers to provide you with a free program to learn, earn and win prizes!",204,212,8,40652,66,2009,A,Anthemis|Columbia University Lang Fund|DCM Ventures|Esther Dyson|MentorTech Ventures|New York Angels,0,9/1/12,,New York,New York,North America,,B2B|B2C,education|finance|payments,
0,Parking Defenders,http://parkingd.com,We know the best spot around you! Reserve a parking space online or through your phone and park with lower rates! Save time and money with just a few taps!,3,3,,3,60,,Pre Series A,,,3/1/13,15000,Amsterdam,Amsterdam,Europe,,B2B,consumer services|mobile|payments|transportation,android|iphone|windows
5,Find Payday Lenders,http://findpaydaylenders.com,Payday loans and cash advances are fast and easy with Find Payday Lenders. Apply online and get approved today!,2,2,,2,,,Exited (ipo),,,,,,,,,,banking|consumer services|finance|payments,
1234,invideous (company),http://invideous.com,"The InPlayer Paywall lets you sell video, music, books or any type content you own. Easy to set up, can be used on any site and in any country.",73,73,0,219,92,2008,A,,,7/1/10,,London,London,Europe,$5M - $10M,B2B,advertising|analytics|e-commerce|marketing|marketing analytics|payments,video
14,Litronic Security Solutions,http://litronic.com,"Provides security middleware, software developer toolkits, DMS, CAC and HSPD-12 support.",3,3,6,26,,,Exited (ipo),,,,,Los Angeles,Irvine,North America,,,data storage|hardware|hardware peripherals|information security|payments|physical security|security|storage,
904,OrderDynamics Corporation,http://orderdynamics.com,Looking for an Order Management System? Click to see how we Power Retail Fulfillment & Innovative Omni-channel experiences.,5,5,15,14114,,2007,Exited (acquired),,,,,Richmond Hill,Richmond Hill,North America,$5M - $10M,B2B,analytics|payments|retail,
274,Syncada,http://syncada.com,U.S. Bank Freight Payment makes freight audit and payment easy by allowing shippers and carriers to work together to manage transportation invoices online.,35,35,124,19,,2009,Exited (acquired),,,,,Minneapolis,Minneapolis,North America,$100M - $250M,B2B,banking|finance|information security|payments|security|transportation,
80,Walmex,http://walmex.mx,major retail chain,15,15,,35229,,,Exited (ipo),,,,,Mex,Mex,North America,,,payments,
7723,TRX,http://trx.com,"Concur's easy-to-use business travel and expense management software solution helps your business save time, money and gain control. Start your test drive now!",6,6,411,3,,1988,Exited (ipo),,,,,Atlanta,Atlanta,North America,$100M - $250M,B2B,payments|travel,
73,Pulse Systems,http://pulseinc.com,"Learn more about Pulse Systems' leading EHR, practice management and billing and collection services software, and our unparalleled client support.",-297,-297,165,3620,,1982,Exited (acquired),,,,,Wichita,Wichita,North America,$10M - $25M,B2B,enterprise software|health it|healthcare|payments,
1078,Grub Canada,http://grubcanada.com,"Local take out menus online serving Pizza, Sushi, and Chinese food; pay by credit card or cash, delivery in 40-60 minutes. Order online now!",0,0,1,3,,,Exited (acquired),,,,,Toronto,Toronto,North America,$1M - $5M,B2C|On-Demand,consumer services|e-commerce|food & beverages|payments,
106,LCNB National Bank,http://enbbank.com,"Their mission is to remain as an independently owned and operated financial services company, meeting the financial needs of the",100,100,12,6,,1847,Exited (acquired),,,,,Eaton,Eaton,North America,$25M - $50M,,banking|finance|payments,
-135997,LeagueSafe,http://leaguesafe.com,LeagueSafe was added to Crunchbase.,-647,-647,,,,,Exited (acquired),,,,,,,,$1M - $5M,,human resources hr|payments,
1310,Links Modular Solutions,http://linksmodularsolutions.com,Links Modular Solutions is a software provider for management in the Leisure and Fitness industry.,-16,-16,,,,2003,Exited (acquired),,,,,Ascot Vale,Ascot Vale,Oceania,$5M - $10M,B2B,enterprise software|fashion|fitness and wellness|payments|software development,
154,The HELPcard,http://helpcard.com,Offering Flexible Payment Plans and Financing Options,-111,-111,66,,,1983,Exited (acquired),,,,,Springdale,Springdale,North America,$25M - $50M,,banking|finance|payments,
1,AnchorOps,http://anchorops.com,,12,12,,,,,Exited (acquired),,,,,,,,,,banking|payments,
26,Clearpoint Credit Counseling Solutions,http://clearpoint.org,"Clearpoint is a national, nonprofit agency offering free credit counseling, budgeting help, bankruptcy counseling, and housing counseling.",134,134,98,,,1964,Exited (acquired),,,,,Atlanta,Atlanta,North America,,,banking|finance|payments,
1324,Fino Paytech,http://finopaytech.com,Fino Paytech is a  a business and banking technology platform combined with extensive services delivery channel.,287,287,,,,2006,Exited (acquired),,,,,Navi Mumbai,Navi Mumbai,Asia,$500M - $1B,,banking|finance|payments,
2746,Sage Group,http://sage.com,Protx Group provides card payment services for businesses in the United Kingdom.,66,66,14586,920061,,1981,Exited (ipo),,,,,Newcastle Upon Tyne,Newcastle Upon Tyne,Europe,$1B - $5B,B2B,data storage|enterprise software|entertainment|human resources hr|mobile|payments|physical storage|storage|telecommunications,accounting|payments
11044,Public Storage,http://publicstoragecanada.com,"Public Storage Canada offers convenient, modern & secure self storage units at almost 60 locations in Canada. Visit today to get started on a storage quote!",-171,-171,62,7712,,1979,Exited (ipo),,,,,Toronto,Toronto,North America,$1M - $5M,,consumer services|data storage|payments|physical security|physical storage|security|storage,cloud computing|cloud storage
2255,Dollar Financial Corp,http://dfg.com,We are a leading international financial services company serving unbanked and under-banked consumers.,-300,-300,1438,100,,1979,Exited (ipo),,,,,Philadelphia,Malvern,North America,,B2B,banking|finance|payments,
6584,Commercial Bank of Dubai,http://cbd.ae,Commercial Bank of Dubai is registered as Public Shareholding Company. The bank has developed its very own mobile banking app for iOS to,-28,-28,1499,119474,,1969,Exited (ipo),,,,,Dubai,Dubai,Asia,$250M - $500M,B2B|B2C,banking|finance|payments,
4581,Hyundai,http://hyundai.com,"Official site for Hyundai Motor America. Explore our new models, features, offers, MPG, and find dealer information all at Hyundaiusa.com.",0,0,35,1901232,,,Exited (ipo),,,,,Piracicaba,Piracicaba,South America,Greater than $5B,B2C,automotive|e-commerce|finance|payments,consumer goods
20922,ICICI BANK LTD,http://icicibank.com,Banking.,200,200,71925,16067190,,,Exited (ipo),,,,,Mumbai,Mumbai,Asia,Greater than $5B,B2C,banking|finance|payments,
52,capebanknj.com,http://capebanknj.com,Cape Bancorp is a new Maryland corporation that was formed by Cape Savings Bank.,6,6,75,5019,,,Exited (ipo),,,,,Linwood,Linwood,North America,$25M - $50M,,banking|finance|payments,
-208,Tribal Inst Loans,http://tribal-installment-loans.com,Tribal installment loans offers long and short term cash loans online from direct lenders.,-88,-88,,266,,,Exited (ipo),,,,,Las Vegas,Las Vegas,North America,,B2C,banking|finance|payments,
57,AasaanPay,http://aasaanpay.com,"AasaanPay is a modern offering that allows customers and retailers to transact in a safe, secure and easy manner. And its affordable.",-10,-10,,446,,2011,Exited (acquired),,,,,Hyderabad,Hyderabad,Asia,,,finance|payments,
-24,Dalberry,http://dalberry.com,Dalberry is a fintech company designed by merchants for merchants. We provide an advanced online payment gateway for a frictionless payment experience.,-304,-304,,,,2015,Exited (acquired),,,,,Bucharest,Bucharest,Europe,,,payments,
17,Nixon Williams,http://nixonwilliams.com,"If you're a contractor, freelancer, consultant or interim professional discover how specialist contractor accountant, Nixon Williams, can benefit you.",-75,-75,22,4519,,1995,Exited (acquired),,,,,Blackpool,Blackpool,Europe,$25M - $50M,,accounting|banking|consumer services|finance|human resources hr|payments,
-7,FxMart,http://fxmoneyindia.com,PhonePe.com revolutionizing payments by building India's 1st UPI based App to provide a cashless and a seamless payment experience,-87,-87,,,,,Exited (acquired),,,,,,,,,,payments,
727,NWP Services Corporation,http://nwp.com,NWP and Velocity are now RealPage Utility Management. Click here to log into your account.,5,5,362,3229,,1995,Exited (acquired),,,,,Los Angeles,Costa Mesa,North America,,,consumer services|payments,
212,Twisted Technologies,http://twistedtechnologies.com,,-4,-4,,,,,Exited (acquired),,,,,Atlanta,Kennesaw,North America,$1M - $5M,,payments,
0,Paystar Inc,http://paystar.net,"Paystar Inc is a Financial Services company that provides network by partnering with leading banks, financial institutions, marketing companies and payment operators.",-1,-1,,,,2006,Exited (acquired),,,,,New York,New York,North America,,B2B,payments,
-7,Bitcoin Brains,http://bitcoinbrains.com,BItcoin Brains is committed to protecting the privacy of our customers and their personal information.,-84,-84,,,,,Exited (acquired),,,,,Atlanta,Atlanta,North America,,,payments,
2,inloyal,http://inloyal.com,inloyal helps you carry all your loyalty cards in one mobile app. So that you always get rewarded when you shop and always know whenever there's a deal.,-5,-5,4,151,,2012,Exited (acquired),,,,,Mumbai,Mumbai,Asia,,B2B|B2C|SaaS,advertising|e-commerce|marketing|mobile|payments|retail,loyalty / rewards
49,eCard,http://ecard.pl,"Regardless of industry, business profile and business scale, eCard SA offers proven solutions for payment processing.",75,75,,,,2000,Exited (acquired),,,,,Gebze,Gebze,Europe,$10M - $25M,,banking|finance|payments,
-42,Fawry,http://myfawry.com,#NAME?,-537,-537,,,,,Exited (acquired),,,,,,,,,,payments,
1329,HealthPay24,http://imagevision.net,"In 2001, HealthPay24 was designed by and for providers wanting to efficiently process payments at the point-of-service. HealthPay24(r) continues to be enhanced with suggestions from
hundreds of Hospitals and Health Systems nationwide and now enables providers to engage patients at any touchpoint,
while offering multiple friendly payment options. -- anywhere throughout your healthcare facility.",3,3,,,,,Exited (acquired),,,,,,,,$1M - $5M,,payments,
295,Collis,http://collis.nl,"Collis focuses on design, development and testing of information technology systems. Collis provides innovative ICT-solutions that improve",-14,-14,463,25,,2012,Exited (acquired),,,,,Leiden,Leiden,Europe,$10M - $25M,B2B,data storage|information security|payments|physical security|security|storage,
23,2ergo,http://2ergo.com,"2ergo provides mobile marketing, CRM, entertainment and messaging services.",2,2,65,143,,,Exited (acquired),,,,,Boston,Manchester,North America,$25M - $50M,B2B,marketing|media|mobile|payments,coupons|messaging|mobile payments|payments|sms
-636,Merchant Account Services United Payment Services,http://unitedpaymentservices.com,"United Payment Services premier credit card processor for retail, wireless, MOTO, online, ecommerce, petroleum and restaurant merchant accounts",-8,-8,,,,,Exited (acquired),,,,,Hagerstown,Hagerstown,North America,$1M - $5M,,finance|payments,
3699,Travelers,http://travelers.com,"Protect your personal and business investments with Travelers Insurance.  From auto insurance to homeowners or business insurance, we have the solution to suit your needs.",-68,-68,31294,732597,,1853,Exited (ipo),,,,,New York,New York,North America,Greater than $5B,,banking|drones|finance|insurance|payments|travel,fortune 500
7834,The Bancorp,http://thebancorp.com,Explore our innovative private-label banking and technology solutions for non-bank companies.,-54,-54,568,5976,,2000,Exited (ipo),,,,,Philadelphia,Wilmington,North America,$100M - $250M,B2B,banking|finance|payments,
1223,Vantiv,http://vantiv.com,Vantiv is a leading credit card processor and POS solution provider for businesses of all sizes. Sign up today and accept payments everywhere you operate.,10,10,3093,60694,,1971,Exited (ipo),,,,,Cincinnati,Cincinnati,North America,$1B - $5B,B2B,banking|finance|information security|payments|security,
8111,Simmons First National Corporation,http://simmonsfirst.com,The Visa Business Platinum Rewards card offers a low interest rate and the rewards you need for your growing business with no annual fee.,13,13,785,210207,,1903,Exited (ipo),,,,,Pine Bluff,Pine Bluff,North America,$100M - $250M,,banking|finance|payments,
89,PokeTALK,http://poketalk.com,The best international calling telephony services from your own phone.,435,435,2,5691,,2008,Exited (acquired),,,,,Jerusalem,Jerusalem,Asia,$1M - $5M,,consumer services|mobile|payments,
11366,Panacea Mobile,http://panaceamobile.com,"Panacea Mobile is a communications technology company simplifies SMS, USSD and Push Notification gateway services for businesses.",515,515,11,11123,,2009,Exited (acquired),,,,,Cape Town,Cape Town,Africa,$1M - $5M,B2B|Consulting,email|marketing|mobile|network / hosting / infrastructure|payments,sms|sms marketing
71,Southern Bank,http://bankwithsouthern.com,"Southern Bank is a community financial institution committed to serving the needs of Southern Missouri and Northern Arkansas. We proudly offer personal and business banking services, Kasasa banking, and investment services.",163,163,38,4437,,1887,Exited (ipo),,,,,Poplar Bluff,Poplar Bluff,North America,$50M - $100M,,banking|finance|payments,
938,Scriptlance,http://scriptlance.com,"Hire freelance programmers, web developers, designers, writers, data entry & more at a fraction of the cost on the World's Largest Outsourcing Marketplace.",44,44,10,4321,,2001,Exited (acquired),,,,,Toronto,Toronto,North America,$5M - $10M,B2C,consumer services|e-commerce|human resources hr|payments,
29,Goldleaf Financial Solutions,http://goldleaf.com,Financial Technology and Services,0,0,,2,,,Exited (acquired),,,,,Atlanta,Norcross,North America,$10M - $25M,,finance|payments,
29,BillMonk,http://billmonk.com,"BillPin -- Split bills, tabs and rent with friends and roommates!",0,0,0,7,,,Exited (acquired),,,,,Seattle,Seattle,North America,$10M - $25M,,payments,
1,VizziHome,http://vizzihome.co.uk,"Search for property with the UK's leading resource. Browse houses and flats for sale and to rent, and find estate agents in your area.",11,11,,6,,2008,Exited (acquired),,,,,London,London,Europe,,,email|payments,
44,Smartpay Holdings,http://smartpayltd.com,"Smartpay is the largest independently operated EFTPOS provider in Australasia, working to bring the latest in EFTPOS payment technologies to our investors.",,,12,,,,Exited (ipo),,,,,New Zealand,,Oceania,,,finance|payments,
264,CorFire,http://corfire.com,"CorFire offers mobile commerce technology solutions for mobile network operators, financial institutions, card issuers, and retailers.",0,0,20,74,,2010,Exited (acquired),,,,,Atlanta,Alpharetta,North America,$25M - $50M,B2B,e-commerce|mobile|payments|telecommunications,mobile commerce|mobile payments|near field communication (nfc)|payments
46,Pozitron,http://pozitron.com,"We are a mobile-minded digital technology leader, powering businesses through digital transformation. Our aim is to drive business growth with our end-to-end digital solutions and getting innovation out of the labs into the market.",133,133,151,4008,,2000,Exited (acquired),,,,,Istanbul,Istanbul,Europe,$25M - $50M,B2B,banking|e-commerce|enterprise software|finance|marketing|mobile|payments|security|software development,android|app development|blackberry|ios|ipad|iphone|mobile apps|payments
84,Billhighway,http://billhighway.co,Got chapters? We've got solutions. Billhighway provides software for chapter-based associations to streamline and optimize dues and other member payments.,186,186,67,9750,,1999,Exited (acquired),,,,,Detroit,Troy,North America,$25M - $50M,B2B,banking|enterprise software|finance|payments,payments
43,TimeForge,http://timeforge.com,Labor management software needs to be easy and powerful to use to ensure maximum profitability for your restaurant or retail business.,-98,-98,14,27094,,,Exited (acquired),,,,,Lubbock,Lubbock,North America,$5M - $10M,B2B,food & beverages|hospitality|human resources hr|payments,online scheduling
7627,GiftCards.com,http://giftcards.com,"Provides gift card products including personalized gift cards, group gift cards, virtual gift cards, discount gift cards and local gift cards redeemable at millions of establishments across the country.",237,237,72,555769,,1999,Exited (acquired),,,,,Pittsburgh,Pittsburgh,North America,$100M - $250M,B2C,e-commerce|payments,gift cards
320,Harbortouch POS,http://harbortouch.com,"Processes credit card transactions for restaurants, retailers, gas stations, national chains, e-commerce and home-based businesses nationwide.",-67,-67,320,35499,,1999,Exited (acquired),,,,,New York,Allentown,North America,$50M - $100M,B2B,computer hardware|e-commerce|finance|food & beverages|hardware|payments,payments|point of sale
568,Livedrive,http://livedrive.com,Livedrive is the complete Backup and Sync solution. Backup an unlimited amount of files on your PC or Mac. Sign up for our free 14 day trial today.,-245,-245,39,363435,,2008,Exited (acquired),,,,,London,London,Europe,$5M - $10M,B2B,consumer services|data storage|payments|physical storage|storage,
55,Owners Direct,http://ownersdirect.co.uk,"Choose from over 775,000 holiday cottages, apartments, villas and accommodation at popular destinations, SAVE MONEY and book holiday rentals with owners directly.",-223,-223,109,1041896,,1997,Exited (acquired),,,,,United Kingdom,United Kingdom,Europe,,B2C,consumer services|e-commerce|payments|real estate|travel,apartments
119,Paycorp,http://paycorp.com.au,Payment Solutions Company,68,68,35,48682,,1998,Exited (acquired),,,,,Milsons Point,Milsons Point,Oceania,$5M - $10M,B2B,banking|data storage|e-commerce|finance|information security|payments|security|storage,
1297,Wincor Nixdorf USA,http://wincor-nixdorf.com,Wincor Nixdorf stands for competitive processes and efficient workflow at bank branches and retail outlets.,-575,-575,4715,72688,,1952,Exited (acquired),,,,,Paderborn,Paderborn,Europe,$1B - $5B,B2B,payments,
982,Feecounter.com,http://feecounter.com,Virtual Feecounter is a Payment Gateway like no other - aggregating modes like credit / debit cards along with over 40+ banks,90,90,10,319,,2011,Exited (acquired),,,,,Rajkot,Rajkot,Asia,$5M - $10M,B2C,payments,
1291,Oberthur Technologies,http://oberthur.com,"OT, a world leader in embedded digital security that protects you when you connect, authenticate or pay.",-501,-501,3894,134758,,,Exited (acquired),,,,,Colombes,Colombes,Europe,$1B - $5B,B2C,finance|healthcare|information security|payments|physical security|security,
1451,Realex Payments,http://realexpayments.com,Simple and secure payment services with world-class support for thousands of customers. It's everything you need to accept payments online. Visit us today!,129,129,148,256802,,2000,Exited (acquired),,,,,Dublin,Dublin,Europe,$25M - $50M,B2B,banking|finance|payments,credit cards|payments
382,Bongo International,http://bongous.com,"Facilitates international e-commerce transactions by providing mail and package forwarding and multiple-purchase consolidation services for more than 3,500 businesses globally.",-6,-6,42,212513,,2007,Exited (acquired),,,,,Tampa,St. Petersburg,North America,$10M - $25M,B2C,e-commerce|payments|transportation|travel,shipping
5,MobileBits,http://mobilebits.com,The Mobile Mall,-9,-9,10,56,,2009,Exited (acquired),,,,,Miami,Miami,North America,Less than $500K,B2B,advertising|e-commerce|marketing|mobile|payments,mobile apps|mobile commerce|mobile marketing
3284,Shifthub,http://shifthub.com,When I Work is easy-to-use employee scheduling and time clock software. Start scheduling for free! It's free for up to 75 employees.,-1,-1,1,479,,2011,Exited (acquired),,,,,Toronto,Toronto,North America,$1M - $5M,B2B,enterprise software|food & beverages|healthcare|hospitality|human resources hr|payments|retail,hr|human resources (hr)|small & medium sized business
277,ShopperTrak,http://shoppertrak.com,"ShopperTrak is the leading global provider of retail analytics, offering solutions to more than 1,000 retailers and shopping malls across 90 countries.",136,136,377,11776,,1995,Exited (acquired),,,,,Chicago,Chicago,North America,$5M - $10M,B2B,advertising|analytics|marketing|marketing analytics|payments|retail,
-1960,Breadcrumb POS,http://breadcrumbpos.com,"Breadcrumb POS runs on the Upserve Restaurant Platform, connecting payments and analytics available with your POS.",-21,-21,53,177,,2011,Exited (acquired),,,,,New York,New York,North America,$1M - $5M,B2B,food & beverages|hospitality|mobile|payments,ipad|mobile payments|payments|point of sale
127,Albany Software,http://albany.co.uk,"Bottomline Technologies provides businesses robust Bacs approved solutions for payments, direct debit collections, account validation and edocument delivery",24,24,172,35,,1999,Exited (acquired),,,,,Reading,Reading,Europe,$10M - $25M,B2B,finance|payments,
-2302,Synergy Financial Systems,http://synergy-fs.com,SWIFT support services,-18,-18,11,11,,1994,Exited (acquired),,,,,Nottingham,Nottingham,Europe,$1M - $5M,B2B,banking|information security|payments|security,
22,Mobile Phone Xchange,http://mobilephonexchange.co.uk,Sell your old and used mobile phone. We recycle old and used mobile phones for cash or Vouchers. Trade in your old and used mobile phone online now.,13,13,17,251,,2005,Exited (acquired),,,,,Elstree,Elstree,Europe,$25M - $50M,,e-commerce|payments,
6334,jBilling,http://jbilling.com,"The world's leading open source enterprise billing solution for subscriptions, converged billing, and more.",-145,-145,28,5946,,,Exited (acquired),,,,,Ottawa,Ottawa,North America,$1M - $5M,B2B,data storage|finance|payments|storage,
0,JustChalo,http://chaloapp.com,Chalo is a mobile technology company offering online reservation services in the restaurant industry.,-3,-3,,7,,,Exited (acquired),,,,,Bay Area,Saratoga,North America,,Consulting,hospitality|mobile|payments|software development,payments
8080,Credit Corp Group,http://creditcorp.com.au,Debt Collection Agency,144,144,692,1265,,,Exited (ipo),,,,,Sydney,Sydney,Oceania,$100M - $250M,B2B,banking|e-commerce|finance|payments,
14,Optimal Pay,http://optimalpaymentsplc.com,Our unique portfolio brings businesses and consumers together,3,3,,,,,Exited (ipo),,,,,,,,,B2B,banking|finance|payments,
7461,Secure Trust,http://securetrustbank.com,"Secure Trust Bank provides simple, transparent savings accounts, mortgages and Business and Commercial Finance.",13,13,128,11326,,1954,Exited (ipo),,,,,Birmingham,Birmingham,Europe,$100M - $250M,,banking|finance|information security|payments|physical security|security,
46589,LinkSpectrum,http://creditcardguide.com,"LinkSpectrum Co. provides credit card deals and promotions online. It offers credit card resource center and links for online applications,",-216,-216,,15898,,,Exited (acquired),,,,,Memphis,Memphis,North America,$1M - $5M,B2C,banking|payments,
